created_date,count
12/12/2022,4876
13/12/2022,4604
14/12/2022,4692
15/12/2022,5407
16/12/2022,5359
17/12/2022,3874
18/12/2022,3038
19/12/2022,5876
20/12/2022,4681
21/12/2022,4177
22/12/2022,3616
23/12/2022,3306
24/12/2022,1725
25/12/2022,753
26/12/2022,1654
27/12/2022,2505
28/12/2022,3893
29/12/2022,3701
30/12/2022,3394
31/12/2022,1788
01/01/2023,1476
02/01/2023,2461
03/01/2023,4688
04/01/2023,4148
05/01/2023,4015
06/01/2023,3569
07/01/2023,2115
08/01/2023,1749
09/01/2023,4555
10/01/2023,3945
11/01/2023,3712
12/01/2023,3715
13/01/2023,3234
14/01/2023,2076
15/01/2023,1697
16/01/2023,4575
17/01/2023,3834
18/01/2023,3676
19/01/2023,3544
20/01/2023,3359
21/01/2023,2087
22/01/2023,1850
23/01/2023,4717
24/01/2023,3956
25/01/2023,3422
26/01/2023,3367
27/01/2023,3181
28/01/2023,1989
29/01/2023,1769
30/01/2023,4370
31/01/2023,3658
01/02/2023,3354
02/02/2023,3382
03/02/2023,3110
04/02/2023,2101
05/02/2023,1761
06/02/2023,4388
07/02/2023,3711
08/02/2023,3444
09/02/2023,3448
10/02/2023,3166
11/02/2023,1903
12/02/2023,1682
13/02/2023,4100
14/02/2023,3402
15/02/2023,3426
16/02/2023,3347
17/02/2023,3216
18/02/2023,1829
19/02/2023,1725
20/02/2023,4161
21/02/2023,3490
22/02/2023,3256
23/02/2023,3157
24/02/2023,3048
25/02/2023,1827
26/02/2023,1645
27/02/2023,4126
28/02/2023,3446
01/03/2023,3123
02/03/2023,3212
03/03/2023,2963
04/03/2023,1898
05/03/2023,1622
06/03/2023,4042
07/03/2023,3304
08/03/2023,3292
09/03/2023,2986
10/03/2023,3145
11/03/2023,1771
12/03/2023,1719
13/03/2023,4243
14/03/2023,3420
15/03/2023,3252
16/03/2023,3263
17/03/2023,2931
18/03/2023,1724
19/03/2023,1516
20/03/2023,4119
21/03/2023,3288
22/03/2023,3168
23/03/2023,2977
24/03/2023,2986
25/03/2023,1831
26/03/2023,1540
27/03/2023,3887
28/03/2023,3149
29/03/2023,3043
30/03/2023,3130
31/03/2023,2903
01/04/2023,1818
02/04/2023,1541
03/04/2023,3941
04/04/2023,3247
05/04/2023,3103
06/04/2023,2914
07/04/2023,1690
08/04/2023,1659
09/04/2023,1221
10/04/2023,1894
11/04/2023,4130
12/04/2023,3332
13/04/2023,3197
14/04/2023,2705
15/04/2023,1761
16/04/2023,1593
17/04/2023,3930
18/04/2023,3179
19/04/2023,3102
20/04/2023,2859
21/04/2023,2715
22/04/2023,1605
23/04/2023,1382
24/04/2023,3770
25/04/2023,3105
26/04/2023,2971
27/04/2023,2849
28/04/2023,2615
29/04/2023,1671
30/04/2023,1309
01/05/2023,1812
02/05/2023,3563
03/05/2023,3160
04/05/2023,2819
05/05/2023,2695
06/05/2023,1256
07/05/2023,1327
08/05/2023,1865
09/05/2023,3846
10/05/2023,3056
11/05/2023,3043
12/05/2023,2712
13/05/2023,1530
14/05/2023,1443
15/05/2023,3675
16/05/2023,3049
17/05/2023,2852
18/05/2023,2866
19/05/2023,2657
20/05/2023,1482
21/05/2023,1363
22/05/2023,3655
23/05/2023,3113
24/05/2023,2917
25/05/2023,2630
26/05/2023,2562
27/05/2023,1407
28/05/2023,1255
29/05/2023,1622
30/05/2023,3631
31/05/2023,2982
01/06/2023,2807
02/06/2023,2642
03/06/2023,1388
04/06/2023,1302
05/06/2023,3508
06/06/2023,2986
07/06/2023,2800
08/06/2023,2651
09/06/2023,2481
10/06/2023,1463
11/06/2023,1354
12/06/2023,3598
13/06/2023,3006
14/06/2023,2800
15/06/2023,2700
16/06/2023,2425
17/06/2023,1477
18/06/2023,1272
19/06/2023,3418
20/06/2023,3063
21/06/2023,2685
22/06/2023,2622
23/06/2023,2492
24/06/2023,1484
25/06/2023,1257
26/06/2023,3306
27/06/2023,2696
28/06/2023,2668
29/06/2023,2473
30/06/2023,2484
01/07/2023,1449
02/07/2023,1330
03/07/2023,3470
04/07/2023,2949
05/07/2023,2892
06/07/2023,2535
07/07/2023,2407
08/07/2023,1463
09/07/2023,1346
10/07/2023,3334
11/07/2023,2754
12/07/2023,2656
13/07/2023,2626
14/07/2023,2466
15/07/2023,1423
16/07/2023,1273
17/07/2023,3360
18/07/2023,2786
19/07/2023,2540
20/07/2023,2532
21/07/2023,2429
22/07/2023,1408
23/07/2023,1344
24/07/2023,3461
25/07/2023,2821
26/07/2023,2553
27/07/2023,2507
28/07/2023,2410
29/07/2023,1381
30/07/2023,1286
31/07/2023,3382
01/08/2023,2853
02/08/2023,2860
03/08/2023,2559
04/08/2023,2548
05/08/2023,1452
06/08/2023,1255
07/08/2023,3407
08/08/2023,2804
09/08/2023,2545
10/08/2023,2756
11/08/2023,2438
12/08/2023,1396
13/08/2023,1288
14/08/2023,3400
15/08/2023,2843
16/08/2023,2562
17/08/2023,2587
18/08/2023,2390
19/08/2023,1331
20/08/2023,1202
21/08/2023,3261
22/08/2023,2774
23/08/2023,2685
24/08/2023,2564
25/08/2023,2356
26/08/2023,832
27/08/2023,1278
28/08/2023,2007
29/08/2023,3609
30/08/2023,2983
31/08/2023,2757
01/09/2023,2618
02/09/2023,1552
03/09/2023,1301
04/09/2023,3368
05/09/2023,2740
06/09/2023,2596
07/09/2023,2509
08/09/2023,2439
09/09/2023,1532
10/09/2023,1331
11/09/2023,2840
12/09/2023,3388
13/09/2023,2787
14/09/2023,2590
15/09/2023,2521
16/09/2023,1408
17/09/2023,1307
18/09/2023,3553
19/09/2023,2793
20/09/2023,2802
21/09/2023,2890
22/09/2023,2668
23/09/2023,1558
24/09/2023,1408
25/09/2023,3582
26/09/2023,2861
27/09/2023,2724
28/09/2023,2542
29/09/2023,2509
30/09/2023,1521
01/10/2023,1331
02/10/2023,3600
03/10/2023,2880
04/10/2023,2859
05/10/2023,2631
06/10/2023,2517
07/10/2023,1498
08/10/2023,1345
09/10/2023,3518
10/10/2023,2952
11/10/2023,2727
12/10/2023,2722
13/10/2023,2753
14/10/2023,1587
15/10/2023,1451
16/10/2023,3843
17/10/2023,3167
18/10/2023,2930
19/10/2023,2960
20/10/2023,3120
21/10/2023,1698
22/10/2023,1457
23/10/2023,3784
24/10/2023,3092
25/10/2023,2893
26/10/2023,2964
27/10/2023,2701
28/10/2023,1713
29/10/2023,1438
30/10/2023,3806
31/10/2023,3105
01/11/2023,3128
02/11/2023,3091
03/11/2023,2880
04/11/2023,1691
05/11/2023,1477
06/11/2023,3935
07/11/2023,3089
08/11/2023,3019
09/11/2023,2897
10/11/2023,2807
11/11/2023,1201
12/11/2023,1736
13/11/2023,4118
14/11/2023,3272
15/11/2023,3063
16/11/2023,2984
17/11/2023,2726
18/11/2023,1638
19/11/2023,1473
20/11/2023,3772
21/11/2023,3073
22/11/2023,2946
23/11/2023,2797
24/11/2023,2647
25/11/2023,1701
26/11/2023,1540
27/11/2023,3809
28/11/2023,3387
29/11/2023,3119
30/11/2023,3003
01/12/2023,2950
02/12/2023,2049
03/12/2023,1684
04/12/2023,4205
05/12/2023,3308
06/12/2023,3226
07/12/2023,3148
08/12/2023,2880
09/12/2023,1841
10/12/2023,1552
11/12/2023,3937
12/12/2023,3119
13/12/2023,3052
14/12/2023,2835
15/12/2023,2726
16/12/2023,1708
17/12/2023,1478
18/12/2023,3686
19/12/2023,3015
20/12/2023,2850
21/12/2023,2665
22/12/2023,2316
23/12/2023,1507
24/12/2023,1169
25/12/2023,615
26/12/2023,1420
27/12/2023,3260
28/12/2023,2833
